ISO2,SALID1,L1_NAME,SALID2,L2_NAME,YEAR,MONTH,DAY,PM25_MEAN_L2,PM10_MEAN_L2,NO2_MEAN_L2,O3_MEAN_L2
MX,MX001,Mexico City Metropolitan Area,20410110,Puebla,2019,1,1,19.5,31.2,26.8,39.6
MX,MX001,Mexico City Metropolitan Area,20410110,Puebla,2019,1,2,20.1,32,27.4,39.1
MX,MX001,Mexico City Metropolitan Area,20410110,Puebla,2019,1,3,19,30.5,26.3,40.2
MX,MX001,Mexico City Metropolitan Area,20410111,Toluca,2019,1,1,17.2,27.8,23.9,42.3
MX,MX001,Mexico City Metropolitan Area,20410111,Toluca,2019,1,2,17.8,28.5,24.5,41.8
MX,MX001,Mexico City Metropolitan Area,20410111,Toluca,2019,1,3,16.7,27.1,23.4,42.9
MX,MX001,Mexico City Metropolitan Area,20410112,Cuernavaca,2019,1,1,15.8,25.4,21.7,44.8
MX,MX001,Mexico City Metropolitan Area,20410112,Cuernavaca,2019,1,2,16.3,26.1,22.2,44.3
MX,MX001,Mexico City Metropolitan Area,20410112,Cuernavaca,2019,1,3,15.4,24.9,21.3,45.2
MX,MX001,Mexico City Metropolitan Area,20410310,Pachuca,2019,1,1,14.6,23.7,20.1,46.7
