"dataset_id","fair","keep","var_name","var_name_raw","var_def","var_label","domain","subdomain"
"APS","renovated","keep","APSNO2GRIDPTS","APSDNO2GRIDPTSISO2;APSNO2GRIDPTSISO2","Number of grid points used to calculate NO2 average and variance measures. This can be used as a measure of size of the area. (NO2 - Nitrogen Dioxide)","Number of grid points used to calculate NO2 measures","Physical and Natural Environment","Air Pollution"
"APS","renovated","keep","APSNO2MEAN","APSDNO2MEANISO2;APSNO2L2_5;APSNO2L3;APSNO2MEANISO2","Weighted arithmetic mean of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area contained within the boundary. (NO2 - Nitrogen Dioxide)","Area-weighted NO2 average concentration","Physical and Natural Environment","Air Pollution"
"APS","renovated","keep","APSNO2MEDIAN","APSDNO2MEDIANISO2;APSNO2MEDIANISO2","Weighted median of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area contained within the boundary. (NO2 - Nitrogen Dioxide)","Area-weighted NO2 median concentration","Physical and Natural Environment","Air Pollution"
"APS","renovated","keep","APSNO2STD","APSDNO2STDISO2;APSNO2STDISO2","Weighted standard deviation of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area contained within the boundary. (NO2 - Nitrogen Dioxide)","Standard deviation of the area-weighted mean value of NO2","Physical and Natural Environment","Air Pollution"
"APS","renovated","keep","APSPM25GRIDPTS","APSPM25GRIDPTSISO2;APSPM25GRIDPTSL2_5;APSPM25GRIDPTSL3","Number of grid point centroids used to calculate PM2.5 average and variance measures. This can be used as a measure of size of the area.  (PM2.5 – particulate matter with less 2.5 µm of diameter)","Number of grid points used to calculate PM2.5 measures","Physical and Natural Environment","Air Pollution"
"APS","renovated","keep","APSPM25MEAN","APSPM25MEANISO2;APSPM25MEANL2_5;APSPM25MEANL3","Arithmetic mean of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter)","PM2.5 average concentration","Physical and Natural Environment","Air Pollution"
"APS","renovated","keep","APSPM25MEDIAN","APSPM25MEDIANISO2","Median of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary. (PM2.5 – particulate matter with less 2.5 µm of diameter)","PM2.5 median concentration","Physical and Natural Environment","Air Pollution"
"APS","renovated","keep","APSPM25STD","APSPM25STDISO2;APSPM25STDL2_5;APSPM25STDL3","Standard deviation of PM2.5 measurements for any grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter)","Standard deviation of the mean value of PM2.5","Physical and Natural Environment","Air Pollution"
"APS","renovated","keep","APSPM25THRES","APSPM25THRESISO2","Average PM2.5 is above threshold of 10 µg/m3. Threshold defined based on WHO Guidelines.  (PM2.5 – particulate matter with less 2.5 µm of diameter)","Average PM2.5 is above threshold","Physical and Natural Environment","Air Pollution"
"BTH","renovated",,"BTHBIRTHS","BTHBIRTHSL1AD;BTHBIRTHSL2;BTHFBIRTHSL1AD;BTHFBIRTHSL2;BTHMBIRTHSL1AD;BTHMBIRTHSL2","Number of births","Number of births","Demographics","Birth/Fertility"
