featured,doi,AuthorInfo,output_type,stand_alone,name,published_date,published_numeric,published_mon_year,desc,desc_gpt,keywords,journal,AuthorInfoText,aff,pmid,pmcid,publication_link,tool_link,thumbnail,press_link,code_link,tool_label,external,aff_clean,output_type_title
TRUE,92_salurbal_doi,,interactives,1,City Selection,2023-11-01,19662,November 2023,"This visual explainer outlines SALURBAL's meticulous methodology for defining and studying cities, sub-cities, and neighborhoods across 11 Latin American countries. The approach has been applied to 371 cities, creating a comprehensive data resource for analyzing health and wellbeing differences both within and between these urban areas.","This visual explainer outlines SALURBAL's meticulous methodology for defining and studying cities, sub-cities, and neighborhoods across 11 Latin American countries. The approach has been applied to 371 cities, creating a comprehensive data resource for analyzing health and wellbeing differences both within and between these urban areas.",Interactive,,,"",,,,https://drexel-uhc.github.io/salurbal-city-selection-scrolly/,snip_city_selection.JPG,,"",View Tool,1,"",Interactives
TRUE,10.1038/s41591-022-01872-6,"JL Kephart, BN Sánchez, J Moore, LH Schinasi, M Bakhtsiyarava, Y Ju, N Gouveia, WT Caiaffa, I Dronova, S Arunachalam, AV Diez Roux, DA Rodríguez",publication,1,City-level impact of extreme temperatures and mortality in Latin America,2022-06-01,19144,June 2022,"Climate change and urbanization are rapidly increasing human exposure to extreme ambient temperatures, yet few studies have examined temperature and mortality in Latin America. We conducted a nonlinear, distributed-lag, longitudinal analysis of daily ambient temperatures and mortality among 326 Latin American cities between 2002 and 2015. We observed 15,431,532 deaths among ≈2.9 billion person-years of risk. The excess death fraction of total deaths was 0.67% (95% confidence interval (CI) 0.58-0.74%) for heat-related deaths and 5.09% (95% CI 4.64-5.47%) for cold-related deaths. The relative risk of death was 1.057 (95% CI 1.046-1.067%) per 1 °C higher temperature during extreme heat and 1.034 (95% CI 1.028-1.040%) per 1 °C lower temperature during extreme cold. In Latin American cities, a substantial proportion of deaths is attributable to nonoptimal ambient temperatures. Marginal increases in observed hot temperatures are associated with steep increases in mortality risk. These risks were strongest among older adults and for cardiovascular and respiratory deaths.","Climate change and urbanization are increasing exposure to extreme temperatures in Latin America. A study found that nonoptimal temperatures contribute to a significant number of deaths, with heat-related deaths accounting for 0.67% and cold-related deaths for 5.09% of total deaths. Higher temperatures during extreme heat and lower temperatures during extreme cold increase the risk of death. Older adults and cardiovascular and respiratory deaths are particularly vulnerable.","",Nature Medicine,"JL Kephart, BN Sánchez, J Moore, LH Schinasi, M Bakhtsiyarava, Y Ju, N Gouveia, WT Caiaffa, I Dronova, S Arunachalam, AV Diez Roux, DA Rodríguez","Urban Health Collaborative, Drexel Dornsife School of Public Health, Philadelphia, PA, USA. jlk465@drexel.edu., Department of Epidemiology and Biostatistics, Drexel Dornsife School of Public Health, Philadelphia, PA, USA., Urban Health Collaborative, Drexel Dornsife School of Public Health, Philadelphia, PA, USA., Department of City and Regional Planning and Institute for Transportation Studies, University of California, Berkeley, CA, USA., School of Architecture and Urban Planning, Nanjing University, Nanjing, China., Department of Preventive Medicine, University of Sao Paulo Medical School, Sao Paulo, Brazil., Observatório de Saúde Urbana de Belo Horizonte, Universidade Federal de Minas Gerais, Belo Horizonte, Brazil., Department of Environmental Science, Policy & Management, & Department of Landscape Architecture & Environmental Planning, University of California, Berkeley, CA, USA., Institute for the Environment, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA.",35760859,9388372,https://doi.org/10.1038/s41591-022-01872-6,https://drexel-uhc.shinyapps.io/MS85/,https://drexel.edu/~/media/Images/lac/Publications/Teixeira2023.ashx?h=780&la=en&w=560&hash=37EBA36491A6E1B800512432FC928F04081693D1,https://sites.google.com/view/salurbalnewsreleases/salurbal-studies/june-2022-extreme-temperatures?authuser=1,https://github.com/Drexel-UHC/salurbal_heat,View Tool,1,"Drexel University, University of California, Berkeley, Nanjing University, Nanjing, China, Universidade de São Paulo, São Paulo, Brazil, Federal University of Minas Gerais, Belo Horizonte, Minas Gerais, Brazil, University of North Carolina, Chapel Hill",Publication
TRUE,10.1038/s41591-020-01214-4,"U Bilal, P Hessel, C Perez-Ferrer, YL Michael, T Alfaro, J Tenorio-Mucha, AAL Friche, MF Pina, A Vives, H Quick, M Alazraqui, DA Rodriguez, JJ Miranda, AV Diez-Roux, SALURBAL group",publication,1,Life expectancy and mortality in 363 cities of Latin America,2021-01-01,18628,January 2021,"The concept of a so-called urban advantage in health ignores the possibility of heterogeneity in health outcomes across cities. Using a harmonized dataset from the SALURBAL project, we describe variability and predictors of life expectancy and proportionate mortality in 363 cities across nine Latin American countries. Life expectancy differed substantially across cities within the same country. Cause-specific mortality also varied across cities, with some causes of death (unintentional and violent injuries and deaths) showing large variation within countries, whereas other causes of death (communicable, maternal, neonatal and nutritional, cancer, cardiovascular disease and other noncommunicable diseases) varied substantially between countries. In multivariable mixed models, higher levels of education, water access and sanitation and less overcrowding were associated with longer life expectancy, a relatively lower proportion of communicable, maternal, neonatal and nutritional deaths and a higher proportion of deaths from cancer, cardiovascular disease and other noncommunicable diseases. These results highlight considerable heterogeneity in life expectancy and causes of death across cities of Latin America, revealing modifiable factors that could be amenable to urban policies aimed toward improving urban health in Latin America and more generally in other urban environments.","Urban health outcomes vary across cities in Latin America. Life expectancy and cause-specific mortality differ within countries. Factors like education, water access, sanitation, and overcrowding influence health outcomes. Urban policies can be implemented to improve health in Latin America. (316 characters)","",Nature Medicine,"U Bilal, P Hessel, C Perez-Ferrer, YL Michael, T Alfaro, J Tenorio-Mucha, AAL Friche, MF Pina, A Vives, H Quick, M Alazraqui, DA Rodriguez, JJ Miranda, AV Diez-Roux, SALURBAL group","Urban Health Collaborative, Drexel Dornsife School of Public Health, Philadelphia, PA, USA. ubilal@drexel.edu., Alberto Lleras Camargo School of Government, Universidad of the Andes, Bogotá, Colombia., National Institute of Public Health, Cuernavaca, Mexico., Urban Health Collaborative, Drexel Dornsife School of Public Health, Philadelphia, PA, USA., Escuela de Salud Pública, Universidad de Chile, Santiago de Chile, Chile., CRONICAS Centre of Excellence in Chronic Diseases, Universidad Peruana Cayetano Heredia, Lima, Perú., Observatory for Urban Health, School of Medicine, Federal University of Minas Gerais, Belo Horizonte, Brazil., Institute for Information and Communication on Health - ICICT/FIOCRUZ, Rio de Janeiro, Brazil., Departamento de Salud Pública, Pontificia Universidad Católica de Chile, Santiago de Chile, Chile., Instituto de Salud Colectiva, Universidad Nacional de Lanús, Buenos Aires, Argentina., Department of City and Regional Planning, University of California Berkeley, Berkeley, CA, USA., NA",33495602,7960508,https://doi.org/10.1038/s41591-020-01214-4,https://drexel-uhc.shinyapps.io/MS10/,https://drexel.edu/~/media/Images/lac/Publications/Teixeira2023.ashx?h=780&la=en&w=560&hash=37EBA36491A6E1B800512432FC928F04081693D1,https://sites.google.com/view/salurbalnewsreleases/salurbal-studies/jan-2021-life-expectancy-and-mortality-profiles-in-latam?authuser=0,https://github.com/usamabilal/SALURBAL_MS10,View Tool,1,"Drexel University, Universidad de los Andes, Bogotá, Colombia, National Institute of Public Health, Cuernavaca, Mexico, University of Chile, Santiago, Chile, Universidad Peruana Cayetano Heredia, Lima, Peru, Federal University of Minas Gerais, Belo Horizonte, Minas Gerais, Brazil, Fiocruz-RJ, Rio de Janeiro, Brazil, Universidad Católica de Chile, Santiago, Chile, Universidad Nacional de Lanús, Argentina, University of California, Berkeley",Publication
TRUE,10.1007/s11524-018-00326-0,"DA Quistberg, AV Diez Roux, U Bilal, K Moore, A Ortigoza, DA Rodriguez, OL Sarmiento, P Frenz, AA Friche, WT Caiaffa, A Vives, JJ Miranda, SALURBAL Group",publication,1,Building a Data Platform for Cross-Country Urban Health Studies: the SALURBAL Study,2018-11-01,17836,November 2018,"Studies examining urban health and the environment must ensure comparability of measures across cities and countries. We describe a data platform and process that integrates health outcomes together with physical and social environment data to examine multilevel aspects of health across cities in 11 Latin American countries. We used two complementary sources to identify cities with ≥ 100,000 inhabitants as of 2010 in Argentina, Brazil, Chile, Colombia, Costa Rica, El Salvador, Guatemala, Mexico, Nicaragua, Panama, and Peru. We defined cities in three ways: administratively, quantitatively from satellite imagery, and based on country-defined metropolitan areas. In addition to ""cities,"" we identified sub-city units and smaller neighborhoods within them using census hierarchies. Selected physical environment (e.g., urban form, air pollution and transport) and social environment (e.g., income, education, safety) data were compiled for cities, sub-city units, and neighborhoods whenever possible using a range of sources. Harmonized mortality and health survey data were linked to city and sub-city units. Finer georeferencing is underway. We identified 371 cities and 1436 sub-city units in the 11 countries. The median city population was 234,553 inhabitants (IQR 141,942; 500,398). The systematic organization of cities, the initial task of this platform, was accomplished and further ongoing developments include the harmonization of mortality and survey measures using available sources for between country comparisons. A range of physical and social environment indicators can be created using available data. The flexible multilevel data structure accommodates heterogeneity in the data available and allows for varied multilevel research questions related to the associations of physical and social environment variables with variability in health outcomes within and across cities. The creation of such data platforms holds great promise to support researching with greater granularity the field of urban health in Latin America as well as serving as a resource for the evaluation of policies oriented to improve the health and environmental sustainability of cities.","This study developed a data platform to assess urban health and the environment across 11 Latin American countries. The platform integrated health outcomes with physical and social environment data, including measures of urban form, air pollution, education, and safety. The platform identified 371 cities and 1436 sub-city units, allowing for multilevel research on the links between environment and health. This data resource has the potential to inform policies aimed at improving the health and sustainability of Latin American cities.","Built environment, Cities, Health Survey, Latin America, Mortality, Multilevel Models, Social Environment, Urban health",Journal of Urban Health : Bulletin of the New York Academy of Medicine,"DA Quistberg, AV Diez Roux, U Bilal, K Moore, A Ortigoza, DA Rodriguez, OL Sarmiento, P Frenz, AA Friche, WT Caiaffa, A Vives, JJ Miranda, SALURBAL Group","Urban Health Collaborative, Drexel University, Philadelphia, PA, USA., Urban Health Collaborative, Drexel University, Philadelphia, PA, USA. avd37@drexel.edu., Department of City & Regional Planning, University of California - Berkeley, Berkeley, CA, USA., Department of Epidemiology, Universidad de los Andes, Bogota, Colombia., School of Public Health, Universidad de Chile, Santiago, Chile., Departament of Preventive and Social Medicine, Universidade Federal de Minas Gerais, Belo Horizonte, Brasil., School of Medicine, Pontifica Universidad Católica de Chile, Santiago, Chile., School of Medicine, Universidad Peruana Cayetano Heredia, Lima, Peru., NA",30465261,6458229,https://doi.org/10.1007/s11524-018-00326-0,,https://drexel.edu/~/media/Images/lac/Publications/Teixeira2023.ashx?h=780&la=en&w=560&hash=37EBA36491A6E1B800512432FC928F04081693D1,,,,1,"Drexel University, University of California, Berkeley, Universidad de los Andes, Bogotá, Colombia, University of Chile, Santiago, Chile, Federal University of Minas Gerais, Belo Horizonte, Minas Gerais, Brazil, Universidad Católica de Chile, Santiago, Chile, Universidad Peruana Cayetano Heredia, Lima, Peru",Publication
TRUE,10.1002/gch2.201800013,"AV Diez Roux, SC Slesinski, M Alazraqui, WT Caiaffa, P Frenz, R Jordán Fuchs, JJ Miranda, DA Rodriguez, OLS Dueñas, J Siri, AV Vergara",publication,1,A Novel International Partnership for Actionable Evidence on Urban Health in Latin America: LAC‐Urban Health and SALURBAL,2018-06-01,17683,June 2018,"This article describes the origins and characteristics of an interdisciplinary multinational collaboration aimed at promoting and disseminating actionable evidence on the drivers of health in cities in Latin America and the Caribbean: The Network for Urban Health in Latin America and the Caribbean and the Wellcome Trust funded SALURBAL (Salud Urbana en América Latina, or Urban Health in Latin America) Project. Both initiatives have the goals of supporting urban policies that promote health and health equity in cities of the region while at the same time generating generalizable knowledge for urban areas across the globe. The processes, challenges, as well as the lessons learned to date in launching and implementing these collaborations, are described. By leveraging the unique features of the Latin American region (one of the most urbanized areas of the world with some of the most innovative urban policies), the aim is to produce generalizable knowledge about the links between urbanization, health, and environments and to identify effective ways to organize, design, and govern cities to improve health, reduce health inequalities, and maximize environmental sustainability in cities all over the world.","This article discusses an interdisciplinary collaboration, the Network for Urban Health in Latin America and the Caribbean and the SALURBAL Project, aimed at promoting health in cities. They aim to support urban policies that promote health equity and generate generalizable knowledge for urban areas worldwide. Lessons learned in launching and implementing these collaborations are described, with the goal of producing knowledge about the links between urbanization, health, and environments to improve health worldwide.","Latin America, health equity, interdisciplinary collaboration, sustainability, urban health",Global Challenges,"AV Diez Roux, SC Slesinski, M Alazraqui, WT Caiaffa, P Frenz, R Jordán Fuchs, JJ Miranda, DA Rodriguez, OLS Dueñas, J Siri, AV Vergara","Urban Health Collaborative Dornsife School of Public Health Drexel University Philadelphia 19104 PA USA., Instituto de Salud Colectiva Universidad Nacional de Lanús Buenos Aires Argentina., School of Medicine Federal University of Minas Gerais Belo Horizonte Brazil., School of Public Health University of Chile Santiago Chile., Economic Commission for Latin America and the Caribbean Santiago Chile., School of Medicine Universidad Peruana Cayetano Heredia Lima Peru., Department of City and Regional Planning The University of California Berkeley Berkeley 94704 CA USA., Department of Public Health University of the Andes Bogota Colombia., International Institute for Global Health United Nations University Kuala Lumpur Malaysia., Department of Public Health Pontificia Universidad Católica de Chile Santiago Chile.",31565372,6450446,https://doi.org/10.1002/gch2.201800013,,https://drexel.edu/~/media/Images/lac/Publications/Teixeira2023.ashx?h=780&la=en&w=560&hash=37EBA36491A6E1B800512432FC928F04081693D1,,,,1,"Drexel University, Universidad Nacional de Lanús, Argentina, Federal University of Minas Gerais, Belo Horizonte, Minas Gerais, Brazil, University of Chile, Santiago, Chile, Economic Commission for Latin America and the Caribbean, Santiago, Chile, Universidad Peruana Cayetano Heredia, Lima, Peru, University of California, Berkeley, Universidad de los Andes, Bogotá, Colombia, International Institute for Global Health, Kuala Lumpur, Malaysia, Universidad Católica de Chile, Santiago, Chile",Publication
FALSE,93_salurbal_doi,,interactives,1,SALURBAL Cities (L1AD & L2),2023-09-01,19601,September 2023,ArcGIS map that displays SALURBAL L1AD and L2s,ArcGIS map that displays SALURBAL L1AD and L2s,Interactive,,,"",,,,https://drx.maps.arcgis.com/apps/instant/basic/index.html?appid=025fb2ad97394ac492c8ce6ddc1f0df1,snip_arcgis_hub_1.JPG,,"",View Map,1,"",Interactives
FALSE,10.1186/s12889-023-16251-0,"A Braverman-Bronstein, D Vidaña-Pérez, AV Diez Roux, C Pérez Ferrer, BN Sánchez, T Barrientos-Gutiérrez",publication,1,Association of service facilities and amenities with adolescent birth rates in Mexican cities,2023-07-01,19539,July 2023,"The association of the built environment and the structural availability of services/amenities with adolescent birth rates (ABR) has been overlooked in Latin America. We investigated the association of the availability, and changes in the availability, of services/amenities with ABR in 92 Mexican cities.","This study examines the impact of the built environment on adolescent birth rates in 92 Mexican cities, highlighting the role of available services and amenities.","Adolescent pregnancy, Mexico, Structural availability, Urban environment",BMC Public Health,"A Braverman-Bronstein, D Vidaña-Pérez, AV Diez Roux, C Pérez Ferrer, BN Sánchez, T Barrientos-Gutiérrez","Department of Epidemiology and Biostatistics, Dornsife School of Public Health, Drexel University, Philadelphia, PA, USA., Center for Survey Research and Evaluation, National Institute of Public Health, Cuernavaca, Mexico., CONACYT, National Institute of Public Health, Cuernavaca, Mexico., Center for Population Health Research, National Institute of Public Health, Av. Universidad 655, 62100, Cuernavaca, Mexico. tbarrientos@insp.mx.",37430299,10334546,https://doi.org/10.1186/s12889-023-16251-0,,https://drexel.edu/~/media/Images/lac/Publications/Teixeira2023.ashx?h=780&la=en&w=560&hash=37EBA36491A6E1B800512432FC928F04081693D1,,,,1,"Drexel University, National Institute of Public Health, Cuernavaca, Mexico",Publication
FALSE,10.1016/S2214-109X(23)00274-7,"",publication,1,"Effects of an urban cable car intervention on physical activity: the TrUST natural experiment in Bogotá, Colombia",2023-07-01,19539,July 2023,"Cable cars are part of the transport system in several cities in Latin America, but no evaluations of their effects on physical activity are available. TransMiCable is the first cable car in Bogotá, Colombia, and the wider intervention includes renovated parks and playgrounds. We assessed the effects of TransMiCable and the wider intervention on physical activity.","This study evaluates the impact of the first cable car in Bogotá, Colombia, and the associated park and playground renovations on physical activity. It is the first evaluation of cable car effects on physical activity in Latin America.","",The Lancet. Global Health,"","",37474235,10369015,https://doi.org/10.1016/S2214-109X(23)00274-7,,https://drexel.edu/~/media/Images/lac/Publications/Teixeira2023.ashx?h=780&la=en&w=560&hash=37EBA36491A6E1B800512432FC928F04081693D1,,,,1,"",Publication
FALSE,10.1038/s41598-023-33641-x,"S Baquero, F Montes, I Stankov, OL Sarmiento, P Medina, SC Slesinski, F Diez-Canseco, MF Kroker-Lobos, WT Caiaffa, A Vives, M Alazraqui, T Barrientos-Gutiérrez, AVD Roux",publication,1,Assessing cohesion and diversity in the collaboration network of the SALURBAL project,2023-05-01,19478,May 2023,"The SALURBAL (Urban Health in Latin America) Project is an interdisciplinary multinational network aimed at generating and disseminating actionable evidence on the drivers of health in cities of Latin America. We conducted a temporal multilayer network analysis where we measured cohesion over time using network structural properties and assessed diversity within and between different project activities according to participant attributes. Between 2017 and 2020 the SALURBAL network comprised 395 participants across 26 countries, 23 disciplines, and 181 institutions. While the cohesion of the SALURBAL network fluctuated over time, overall, an increase was observed from the first to the last time point of our analysis (clustering coefficient increased [0.83-0.91] and shortest path decreased [1.70-1.68]). SALURBAL also exhibited balanced overall diversity within project activities (0.5-0.6) by designing activities for different purposes such as capacity building, team-building, research, and dissemination. The network's growth was facilitated by the creation of new diverse collaborations across a range of activities over time, while maintaining the diversity of existing collaborations (0.69-0.75 between activity diversity depending on the attribute). The SALURBAL experience can serve as an example for multinational research projects aiming to build cohesive networks while leveraging heterogeneity in countries, disciplines, career stage, and across sectors.","The SALURBAL Project is an interdisciplinary network that generates evidence on urban health in Latin America. It had 395 participants from 26 countries and 181 institutions. The network's cohesion increased over time, and it maintained diversity within its activities. This project serves as an example for building cohesive multinational research networks with diverse collaborations. (281 characters)","",Scientific Reports,"S Baquero, F Montes, I Stankov, OL Sarmiento, P Medina, SC Slesinski, F Diez-Canseco, MF Kroker-Lobos, WT Caiaffa, A Vives, M Alazraqui, T Barrientos-Gutiérrez, AVD Roux","Department of Industrial Engineering, Social and Health Complexity Center, Universidad de los Andes, Crr 1 Este No.19ª-40 Piso 8, 111711, Bogotá, Colombia. sdc.baquero10@uniandes.edu.co., Department of Industrial Engineering, Social and Health Complexity Center, Universidad de los Andes, Crr 1 Este No.19ª-40 Piso 8, 111711, Bogotá, Colombia., Urban Health Collaborative, Dornsife School of Public Health, Drexel University, Philadelphia, PA, 19104, USA., School of Medicine, Universidad de los Andes, 111711, Bogotá, Colombia., Pettenkofer School of Public Health, Ludwig-Maximilians-Universität München, 81377, Munich, Germany., CRONICAS Centre of Excellence in Chronic Diseases, Universidad Peruana Cayetano Heredia, Lima, 15074, Peru., INCAP Research Center for the Prevention of Chronic Diseases (CIIPEC), Institute of Nutrition of Central America and Panama (INCAP), Guatemala City, 01011, Guatemala., Observatory for Urban Health in Belo Horizonte (OSUBH), Universidade Federal de Minas Gerais, Brazil, Belo Horizonte, MG, 30130-100, Brazil., Department of Public Health, CEDEUS, Universidad Católica de Chile, 8330077, Santiago, Chile., Institute of Collective Health, National University of Lanús, Buenos Aires, Argentina., Center for Population Health Research, National Institute of Public Health, 62100, Cuernavaca, Mexico.",37165002,10172186,https://doi.org/10.1038/s41598-023-33641-x,,https://drexel.edu/~/media/Images/lac/Publications/Teixeira2023.ashx?h=780&la=en&w=560&hash=37EBA36491A6E1B800512432FC928F04081693D1,,,,1,"Universidad de los Andes, Bogotá, Colombia, Drexel University, Ludwig-Maximilians-Universität München, Munich, Germany, Universidad Peruana Cayetano Heredia, Lima, Peru, Institute of Nutrition of Central America and Panama (INCAP), Guatemala City, Guatemala, Federal University of Minas Gerais, Belo Horizonte, Minas Gerais, Brazil, Universidad Católica de Chile, Santiago, Chile, University of Chile, Santiago, Chile, Universidad Nacional de Lanús, Argentina, National Institute of Public Health, Cuernavaca, Mexico",Publication
FALSE,10.3389/fpubh.2023.1151916,"AP Domínguez-Barreto, I Farah, N López-Olmedo, C Perez-Ferrer, Y Ramírez-Toscano, T Barrientos-Gutiérrez, D Stern",publication,1,"Trends in food and beverage purchases in informal, mixed, and formal food outlets in Mexico: ENIGH 1994–2020",2023-05-01,19478,May 2023,"The retail food environment in Mexico is characterized by the co-existence of both, formal and informal food outlets. Yet, the contribution of these outlets to food purchases over time has not been documented. Understanding the longitudinal trends where Mexican households purchase their foods is critical for the development of future food retail policies.",This study examines the formal and informal food outlets in Mexico's retail food environment and their contribution to food purchases over time. The findings are essential for guiding future food retail policies.,"food outlets, food purchases, households, informal food outlets, retail food environment",Frontiers in Public Health,"AP Domínguez-Barreto, I Farah, N López-Olmedo, C Perez-Ferrer, Y Ramírez-Toscano, T Barrientos-Gutiérrez, D Stern","Center for Research on Population Health, National Institute of Public Health, Cuernavaca, Morelos, Mexico., Department of City and Regional Planning, University of California, Berkeley, Berkeley, CA, United States., CONACyT-Center for Research on Nutrition and Health, National Institute of Public Health, Cuernavaca, Morelos, Mexico., CONACyT-Center for Research on Population Health, National Institute of Public Health, Cuernavaca, Morelos, Mexico.",37293617,10244666,https://doi.org/10.3389/fpubh.2023.1151916,,https://drexel.edu/~/media/Images/lac/Publications/Teixeira2023.ashx?h=780&la=en&w=560&hash=37EBA36491A6E1B800512432FC928F04081693D1,,,,1,"National Institute of Public Health, Cuernavaca, Mexico, University of California, Berkeley",Publication
